total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-25502.545	179.956	10.734	4.188	21	ON	4.188	10.86	17.911	DHR49_neg_10.2_on_C101_thread_V1_0021_180spin	DHR49_neg_10.2_on_C101_thread_V1	-290.013
-25498.16	36.517	10.362	3.883	15	ON	3.883	10.446	17.067	DHR49_neg_10.2_on_C101_thread_K1_0015_37spin	DHR49_neg_10.2_on_C101_thread_K1	-285.628
-25489.947	-179.78	10.77	4.358	20	ON	4.358	10.872	17.636	DHR49_neg_10.2_on_C101_thread_N4_0020_-180spin	DHR49_neg_10.2_on_C101_thread_N4	-277.415
-25488.895	179.56	10.862	4.388	11	ON	4.388	10.955	17.745	DHR49_neg_10.2_on_C101_thread_L2_0011_180spin	DHR49_neg_10.2_on_C101_thread_L2	-276.363
-25488.657	35.757	10.557	3.947	9	ON	3.947	10.638	17.233	DHR49_neg_10.2_on_C101_thread_L4_0009_36spin	DHR49_neg_10.2_on_C101_thread_L4	-276.125
-25486.643	-179.434	10.882	4.366	22	ON	4.366	10.995	17.961	DHR49_neg_10.2_on_C101_thread_R1_0022_-179spin	DHR49_neg_10.2_on_C101_thread_R1	-274.111
-25485.465	35.199	10.469	3.936	19	ON	3.936	10.545	17.22	DHR49_neg_10.2_on_C101_thread_C4_0019_35spin	DHR49_neg_10.2_on_C101_thread_C4	-272.933
-25483.9	36.054	10.605	3.913	5	ON	3.913	10.682	17.495	DHR49_neg_10.2_on_C101_thread_A3_0005_36spin	DHR49_neg_10.2_on_C101_thread_A3	-271.368
-25479.542	0.841	10.713	4.199	26	ON	4.199	10.807	17.56	DHR49_neg_10.2_on_C101_thread_W3_0026_1spin	DHR49_neg_10.2_on_C101_thread_W3	-267.01
-25478.67	36.095	10.546	3.936	15	ON	3.936	10.636	17.473	DHR49_neg_10.2_on_C101_thread_R2_0015_36spin	DHR49_neg_10.2_on_C101_thread_R2	-266.138
-25489.947	-179.78	10.77	4.358	20	ON	4.358	10.872	17.636	DHR49_neg_10.2_on_C101_thread_N4_0020_-180spin	DHR49_neg_10.2_on_C101_thread_N4	-277.415
-25313.833	-160.446	11.201	4.569	7	ON	4.569	11.307	18.37	DHR49_neg_10.2_on_C101_thread_T4_0007_-160spin	DHR49_neg_10.2_on_C101_thread_T4	-101.301
-25329.606	-153.532	11.113	4.525	22	ON	4.525	11.207	18.069	DHR49_neg_10.2_on_C101_thread_A4_0022_-154spin	DHR49_neg_10.2_on_C101_thread_A4	-117.074
-25448.533	-144.578	10.792	4.161	8	ON	4.161	10.932	18.054	DHR49_neg_10.2_on_C101_thread_X2_0008_-145spin	DHR49_neg_10.2_on_C101_thread_X2	-236.001
-25345.609	-139.368	11.039	4.494	10	ON	4.494	11.182	18.228	DHR49_neg_10.2_on_C101_thread_O3_0010_-139spin	DHR49_neg_10.2_on_C101_thread_O3	-133.077
-25320.479	-128.032	11.017	4.467	25	ON	4.467	11.157	17.56	DHR49_neg_10.2_on_C101_thread_U2_0025_-128spin	DHR49_neg_10.2_on_C101_thread_U2	-107.947
-25332.249	-112.651	11.084	4.414	7	ON	4.414	11.212	18.37	DHR49_neg_10.2_on_C101_thread_M1_0007_-113spin	DHR49_neg_10.2_on_C101_thread_M1	-119.717
-25313.574	-103.857	10.828	4.314	3	ON	4.314	10.913	17.657	DHR49_neg_10.2_on_C101_thread_G2_0003_-104spin	DHR49_neg_10.2_on_C101_thread_G2	-101.042
-25348.244	-92.813	11.193	4.687	7	ON	4.687	11.286	18.01	DHR49_neg_10.2_on_C101_thread_M4_0007_-93spin	DHR49_neg_10.2_on_C101_thread_M4	-135.712
-25329.57	-86.704	10.903	4.408	17	ON	4.408	11.002	17.771	DHR49_neg_10.2_on_C101_thread_F3_0017_-87spin	DHR49_neg_10.2_on_C101_thread_F3	-117.038
-25317.132	-77.812	11.041	4.122	4	ON	4.122	11.216	17.91	DHR49_neg_10.2_on_C101_thread_N4_0004_-78spin	DHR49_neg_10.2_on_C101_thread_N4	-104.6
-25349.634	-66.713	11.016	4.335	25	ON	4.335	11.159	18.34	DHR49_neg_10.2_on_C101_thread_H4_0025_-67spin	DHR49_neg_10.2_on_C101_thread_H4	-137.102
-25346.179	-50.459	11.111	4.493	11	ON	4.493	11.201	18.067	DHR49_neg_10.2_on_C101_thread_Z1_0011_-50spin	DHR49_neg_10.2_on_C101_thread_Z1	-133.647
-25351.305	-48.035	11.021	4.472	24	ON	4.472	11.13	18.1	DHR49_neg_10.2_on_C101_thread_Y2_0024_-48spin	DHR49_neg_10.2_on_C101_thread_Y2	-138.773
-25411.506	-33.176	10.701	4.106	14	ON	4.106	10.822	17.908	DHR49_neg_10.2_on_C101_thread_G4_0014_-33spin	DHR49_neg_10.2_on_C101_thread_G4	-198.974
-25325.794	-25.702	10.984	4.546	23	ON	4.546	11.088	17.835	DHR49_neg_10.2_on_C101_thread_R3_0023_-26spin	DHR49_neg_10.2_on_C101_thread_R3	-113.262
-25319.434	-15.432	11.207	4.362	21	ON	4.362	11.356	18.034	DHR49_neg_10.2_on_C101_thread_K3_0021_-15spin	DHR49_neg_10.2_on_C101_thread_K3	-106.902
-25476.173	-1.077	10.87	4.449	28	ON	4.449	11.005	17.938	DHR49_neg_10.2_on_C101_thread_V3_0028_-1spin	DHR49_neg_10.2_on_C101_thread_V3	-263.641
-25479.542	0.841	10.713	4.199	26	ON	4.199	10.807	17.56	DHR49_neg_10.2_on_C101_thread_W3_0026_1spin	DHR49_neg_10.2_on_C101_thread_W3	-267.01
-25311.104	19.929	11.176	4.722	19	ON	4.722	11.284	18.185	DHR49_neg_10.2_on_C101_thread_O4_0019_20spin	DHR49_neg_10.2_on_C101_thread_O4	-98.572
-25321.748	25.888	11.053	4.435	16	ON	4.435	11.143	18.009	DHR49_neg_10.2_on_C101_thread_F4_0016_26spin	DHR49_neg_10.2_on_C101_thread_F4	-109.216
-25498.16	36.517	10.362	3.883	15	ON	3.883	10.446	17.067	DHR49_neg_10.2_on_C101_thread_K1_0015_37spin	DHR49_neg_10.2_on_C101_thread_K1	-285.628
-25337.414	41.912	10.998	4.309	26	ON	4.309	11.134	18.306	DHR49_neg_10.2_on_C101_thread_A4_0026_42spin	DHR49_neg_10.2_on_C101_thread_A4	-124.882
-25322.0	52.411	10.857	4.112	27	ON	4.112	10.969	18.265	DHR49_neg_10.2_on_C101_thread_H1_0027_52spin	DHR49_neg_10.2_on_C101_thread_H1	-109.468
-25330.255	67.395	11.056	4.478	8	ON	4.478	11.144	17.939	DHR49_neg_10.2_on_C101_thread_D4_0008_67spin	DHR49_neg_10.2_on_C101_thread_D4	-117.723
-25312.431	78.48	10.835	4.217	29	ON	4.217	10.925	17.791	DHR49_neg_10.2_on_C101_thread_S3_0029_78spin	DHR49_neg_10.2_on_C101_thread_S3	-99.899
-25327.998	87.015	11.239	4.778	25	ON	4.778	11.365	18.343	DHR49_neg_10.2_on_C101_thread_E2_0025_87spin	DHR49_neg_10.2_on_C101_thread_E2	-115.466
-25335.664	92.278	11.129	4.496	22	ON	4.496	11.214	17.824	DHR49_neg_10.2_on_C101_thread_J3_0022_92spin	DHR49_neg_10.2_on_C101_thread_J3	-123.132
-25318.895	103.111	10.827	4.125	23	ON	4.125	10.952	18.186	DHR49_neg_10.2_on_C101_thread_U1_0023_103spin	DHR49_neg_10.2_on_C101_thread_U1	-106.363
-25332.929	113.731	10.954	4.459	21	ON	4.459	11.037	17.756	DHR49_neg_10.2_on_C101_thread_U3_0021_114spin	DHR49_neg_10.2_on_C101_thread_U3	-120.397
-25344.071	129.627	11.013	4.42	17	ON	4.42	11.107	17.973	DHR49_neg_10.2_on_C101_thread_S3_0017_130spin	DHR49_neg_10.2_on_C101_thread_S3	-131.539
-25335.794	132.339	11.183	4.415	27	ON	4.415	11.254	18.117	DHR49_neg_10.2_on_C101_thread_F3_0027_132spin	DHR49_neg_10.2_on_C101_thread_F3	-123.262
-25417.086	145.911	10.87	3.766	2	ON	3.766	11.286	17.579	DHR49_neg_10.2_on_C101_thread_A3_0002_146spin	DHR49_neg_10.2_on_C101_thread_A3	-204.554
-25336.255	154.319	10.908	4.448	1	ON	4.448	10.994	17.72	DHR49_neg_10.2_on_C101_thread_L4_0001_154spin	DHR49_neg_10.2_on_C101_thread_L4	-123.723
-25315.445	166.582	11.121	4.677	26	ON	4.677	11.24	18.165	DHR49_neg_10.2_on_C101_thread_T3_0026_167spin	DHR49_neg_10.2_on_C101_thread_T3	-102.913
-25502.545	179.956	10.734	4.188	21	ON	4.188	10.86	17.911	DHR49_neg_10.2_on_C101_thread_V1_0021_180spin	DHR49_neg_10.2_on_C101_thread_V1	-290.013
