total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-25707.943	141.986	12.215	5.099	15	ON	5.099	13.837	19.209	FD15_9.6_on_C101_thread_E4_0015_142spin	FD15_9.6_on_C101_thread_E4	-214.341
-25696.45	143.797	12.192	5.095	22	ON	5.095	13.878	19.138	FD15_9.6_on_C101_thread_B4_0022_144spin	FD15_9.6_on_C101_thread_B4	-202.848
-25696.042	142.39	12.384	5.323	30	ON	5.323	14.07	19.254	FD15_9.6_on_C101_thread_V2_0030_142spin	FD15_9.6_on_C101_thread_V2	-202.44
-25692.96	141.457	12.384	5.258	2	ON	5.258	14.092	19.461	FD15_9.6_on_C101_thread_W3_0002_141spin	FD15_9.6_on_C101_thread_W3	-199.358
-25692.152	142.139	12.384	5.286	18	ON	5.286	14.097	19.337	FD15_9.6_on_C101_thread_L1_0018_142spin	FD15_9.6_on_C101_thread_L1	-198.55
-25692.056	142.065	12.384	5.227	20	ON	5.227	14.017	19.387	FD15_9.6_on_C101_thread_K1_0020_142spin	FD15_9.6_on_C101_thread_K1	-198.454
-25691.539	141.213	12.384	5.273	15	ON	5.273	14.087	19.346	FD15_9.6_on_C101_thread_T2_0015_141spin	FD15_9.6_on_C101_thread_T2	-197.937
-25691.255	141.881	12.384	5.28	30	ON	5.28	14.073	19.308	FD15_9.6_on_C101_thread_Q4_0030_142spin	FD15_9.6_on_C101_thread_Q4	-197.653
-25691.144	-36.338	12.06	4.863	7	ON	4.863	13.723	19.072	FD15_9.6_on_C101_thread_Z1_0007_-36spin	FD15_9.6_on_C101_thread_Z1	-197.542
-25690.658	142.794	12.384	5.298	3	ON	5.298	14.086	19.313	FD15_9.6_on_C101_thread_U4_0003_143spin	FD15_9.6_on_C101_thread_U4	-197.056
-25686.692	-179.83	11.859	4.37	21	ON	4.37	13.367	19.383	FD15_9.6_on_C101_thread_Z1_0021_-180spin	FD15_9.6_on_C101_thread_Z1	-193.09
-25554.123	-169.654	12.53	5.381	15	ON	5.381	14.222	19.5	FD15_9.6_on_C101_thread_D2_0015_-170spin	FD15_9.6_on_C101_thread_D2	-60.521
-25551.89	-151.358	12.825	5.629	2	ON	5.629	14.364	19.966	FD15_9.6_on_C101_thread_J3_0002_-151spin	FD15_9.6_on_C101_thread_J3	-58.288
-25659.007	-142.146	12.384	5.066	6	ON	5.066	13.852	19.494	FD15_9.6_on_C101_thread_U2_0006_-142spin	FD15_9.6_on_C101_thread_U2	-165.405
-25603.859	-139.974	12.913	5.708	2	ON	5.708	14.513	19.921	FD15_9.6_on_C101_thread_X2_0002_-140spin	FD15_9.6_on_C101_thread_X2	-110.257
-25547.679	-129.509	13.12	5.924	6	ON	5.924	14.736	20.128	FD15_9.6_on_C101_thread_T4_0006_-130spin	FD15_9.6_on_C101_thread_T4	-54.077
-25568.068	-112.099	12.786	5.556	7	ON	5.556	14.417	19.882	FD15_9.6_on_C101_thread_X3_0007_-112spin	FD15_9.6_on_C101_thread_X3	-74.466
-25546.069	-106.368	12.876	5.559	29	ON	5.559	14.211	20.144	FD15_9.6_on_C101_thread_F4_0029_-106spin	FD15_9.6_on_C101_thread_F4	-52.467
-25561.888	-95.771	12.74	5.401	30	ON	5.401	14.314	20.107	FD15_9.6_on_C101_thread_K4_0030_-96spin	FD15_9.6_on_C101_thread_K4	-68.286
-25554.439	-85.658	13.082	5.927	8	ON	5.927	14.786	20.06	FD15_9.6_on_C101_thread_Z1_0008_-86spin	FD15_9.6_on_C101_thread_Z1	-60.837
-25546.655	-75.385	13.103	5.489	7	ON	5.489	14.469	20.79	FD15_9.6_on_C101_thread_Y1_0007_-75spin	FD15_9.6_on_C101_thread_Y1	-53.053
-25558.907	-66.94	12.816	5.213	20	ON	5.213	14.17	20.504	FD15_9.6_on_C101_thread_J4_0020_-67spin	FD15_9.6_on_C101_thread_J4	-65.305
-25545.728	-51.619	12.874	5.758	6	ON	5.758	14.608	19.852	FD15_9.6_on_C101_thread_V1_0006_-52spin	FD15_9.6_on_C101_thread_V1	-52.126
-25630.42	-40.524	12.333	4.97	16	ON	4.97	13.927	19.534	FD15_9.6_on_C101_thread_D2_0016_-41spin	FD15_9.6_on_C101_thread_D2	-136.818
-25691.144	-36.338	12.06	4.863	7	ON	4.863	13.723	19.072	FD15_9.6_on_C101_thread_Z1_0007_-36spin	FD15_9.6_on_C101_thread_Z1	-197.542
-25566.635	-25.633	12.731	5.661	28	ON	5.661	14.387	19.565	FD15_9.6_on_C101_thread_R2_0028_-26spin	FD15_9.6_on_C101_thread_R2	-73.033
-25558.67	-18.38	12.634	5.547	12	ON	5.547	14.326	19.515	FD15_9.6_on_C101_thread_P1_0012_-18spin	FD15_9.6_on_C101_thread_P1	-65.068
-25661.21	-0.344	12.262	5.072	27	ON	5.072	13.955	19.281	FD15_9.6_on_C101_thread_J4_0027_0spin	FD15_9.6_on_C101_thread_J4	-167.608
-25669.172	0.598	12.074	4.695	20	ON	4.695	13.677	19.475	FD15_9.6_on_C101_thread_L3_0020_1spin	FD15_9.6_on_C101_thread_L3	-175.57
-25556.107	10.86	13.028	5.902	29	ON	5.902	14.746	20.028	FD15_9.6_on_C101_thread_O1_0029_11spin	FD15_9.6_on_C101_thread_O1	-62.505
-25554.666	26.803	12.847	5.705	7	ON	5.705	14.565	19.853	FD15_9.6_on_C101_thread_R3_0007_27spin	FD15_9.6_on_C101_thread_R3	-61.064
-25663.844	37.419	11.901	4.78	17	ON	4.78	13.583	18.953	FD15_9.6_on_C101_thread_U4_0017_37spin	FD15_9.6_on_C101_thread_U4	-170.242
-25620.673	40.202	12.914	5.284	6	ON	5.284	14.402	20.462	FD15_9.6_on_C101_thread_L1_0006_40spin	FD15_9.6_on_C101_thread_L1	-127.071
-25557.445	51.133	12.592	5.377	23	ON	5.377	14.223	19.727	FD15_9.6_on_C101_thread_U4_0023_51spin	FD15_9.6_on_C101_thread_U4	-63.843
-25558.553	68.918	12.946	5.626	7	ON	5.626	14.533	20.292	FD15_9.6_on_C101_thread_K4_0007_69spin	FD15_9.6_on_C101_thread_K4	-64.951
-25550.468	70.695	12.984	5.759	12	ON	5.759	14.618	20.043	FD15_9.6_on_C101_thread_S2_0012_71spin	FD15_9.6_on_C101_thread_S2	-56.866
-25569.955	85.694	12.373	5.253	6	ON	5.253	13.997	19.37	FD15_9.6_on_C101_thread_Y2_0006_86spin	FD15_9.6_on_C101_thread_Y2	-76.353
-25547.278	95.723	13.03	5.929	3	ON	5.929	14.693	19.947	FD15_9.6_on_C101_thread_O3_0003_96spin	FD15_9.6_on_C101_thread_O3	-53.676
-25551.802	105.294	12.685	5.482	5	ON	5.482	14.316	19.793	FD15_9.6_on_C101_thread_R4_0005_105spin	FD15_9.6_on_C101_thread_R4	-58.2
-25562.837	112.825	12.456	5.204	5	ON	5.204	13.979	19.671	FD15_9.6_on_C101_thread_V4_0005_113spin	FD15_9.6_on_C101_thread_V4	-69.235
-25558.453	129.562	12.862	5.489	23	ON	5.489	14.496	20.125	FD15_9.6_on_C101_thread_N3_0023_130spin	FD15_9.6_on_C101_thread_N3	-64.851
-25658.123	139.473	12.384	5.003	14	ON	5.003	14.019	19.728	FD15_9.6_on_C101_thread_F3_0014_139spin	FD15_9.6_on_C101_thread_F3	-164.521
-25707.943	141.986	12.215	5.099	15	ON	5.099	13.837	19.209	FD15_9.6_on_C101_thread_E4_0015_142spin	FD15_9.6_on_C101_thread_E4	-214.341
-25566.592	159.075	12.429	5.326	2	ON	5.326	14.127	19.356	FD15_9.6_on_C101_thread_D4_0002_159spin	FD15_9.6_on_C101_thread_D4	-72.99
-25557.078	163.982	12.756	5.685	25	ON	5.685	14.41	19.604	FD15_9.6_on_C101_thread_D1_0025_164spin	FD15_9.6_on_C101_thread_D1	-63.476
-25663.031	179.818	12.384	4.991	7	ON	4.991	13.968	19.804	FD15_9.6_on_C101_thread_U4_0007_180spin	FD15_9.6_on_C101_thread_U4	-169.429
