total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-25806.013	-30.239	12.222	5.098	27	ON	5.098	13.004	19.684	FD31_11.6_on_C101_thread_Q1_0027_-30spin	FD31_11.6_on_C101_thread_Q1	-227.706
-25800.339	-89.523	12.544	4.977	16	ON	4.977	13.207	20.518	FD31_11.6_on_C101_thread_F4_0016_-90spin	FD31_11.6_on_C101_thread_F4	-222.032
-25797.215	149.655	12.587	5.463	25	ON	5.463	13.461	19.98	FD31_11.6_on_C101_thread_L4_0025_150spin	FD31_11.6_on_C101_thread_L4	-218.908
-25796.292	149.386	12.382	5.13	14	ON	5.13	13.17	19.976	FD31_11.6_on_C101_thread_G2_0014_149spin	FD31_11.6_on_C101_thread_G2	-217.985
-25793.235	91.473	12.199	4.897	3	ON	4.897	12.666	19.979	FD31_11.6_on_C101_thread_N3_0003_91spin	FD31_11.6_on_C101_thread_N3	-214.928
-25792.924	149.172	12.482	5.113	28	ON	5.113	12.819	20.33	FD31_11.6_on_C101_thread_E1_0028_149spin	FD31_11.6_on_C101_thread_E1	-214.617
-25791.706	-90.203	12.308	5.014	12	ON	5.014	12.842	20.062	FD31_11.6_on_C101_thread_C1_0012_-90spin	FD31_11.6_on_C101_thread_C1	-213.399
-25785.001	149.813	12.348	4.905	8	ON	4.905	12.701	20.287	FD31_11.6_on_C101_thread_G2_0008_150spin	FD31_11.6_on_C101_thread_G2	-206.694
-25784.583	149.167	12.57	5.21	8	ON	5.21	13.012	20.398	FD31_11.6_on_C101_thread_D2_0008_149spin	FD31_11.6_on_C101_thread_D2	-206.276
-25778.102	-150.076	12.26	5.052	7	ON	5.052	12.811	19.934	FD31_11.6_on_C101_thread_G3_0007_-150spin	FD31_11.6_on_C101_thread_G3	-199.795
-25773.642	-179.89	12.204	4.836	6	ON	4.836	12.569	20.05	FD31_11.6_on_C101_thread_B2_0006_-180spin	FD31_11.6_on_C101_thread_B2	-195.335
-25679.202	-165.058	12.36	5.219	27	ON	5.219	13.365	19.628	FD31_11.6_on_C101_thread_J4_0027_-165spin	FD31_11.6_on_C101_thread_J4	-100.895
-25778.102	-150.076	12.26	5.052	7	ON	5.052	12.811	19.934	FD31_11.6_on_C101_thread_G3_0007_-150spin	FD31_11.6_on_C101_thread_G3	-199.795
-25765.17	-149.973	12.338	5.165	8	ON	5.165	13.337	19.65	FD31_11.6_on_C101_thread_F3_0008_-150spin	FD31_11.6_on_C101_thread_F3	-186.863
-25677.268	-137.692	12.783	5.628	28	ON	5.628	13.457	20.36	FD31_11.6_on_C101_thread_I3_0028_-138spin	FD31_11.6_on_C101_thread_I3	-98.961
-25651.33	-120.147	13.411	5.836	4	ON	5.836	13.761	21.482	FD31_11.6_on_C101_thread_B1_0004_-120spin	FD31_11.6_on_C101_thread_B1	-73.023
-25675.925	-118.872	13.244	5.877	2	ON	5.877	13.67	21.081	FD31_11.6_on_C101_thread_H1_0002_-119spin	FD31_11.6_on_C101_thread_H1	-97.618
-25723.803	-101.054	12.811	5.021	7	ON	5.021	13.293	21.011	FD31_11.6_on_C101_thread_Z2_0007_-101spin	FD31_11.6_on_C101_thread_Z2	-145.496
-25791.706	-90.203	12.308	5.014	12	ON	5.014	12.842	20.062	FD31_11.6_on_C101_thread_C1_0012_-90spin	FD31_11.6_on_C101_thread_C1	-213.399
-25800.339	-89.523	12.544	4.977	16	ON	4.977	13.207	20.518	FD31_11.6_on_C101_thread_F4_0016_-90spin	FD31_11.6_on_C101_thread_F4	-222.032
-25743.203	-77.532	12.281	4.939	24	ON	4.939	13.084	19.958	FD31_11.6_on_C101_thread_F4_0024_-78spin	FD31_11.6_on_C101_thread_F4	-164.896
-25678.709	-60.324	12.69	5.567	28	ON	5.567	13.362	20.236	FD31_11.6_on_C101_thread_U2_0028_-60spin	FD31_11.6_on_C101_thread_U2	-100.402
-25661.827	-59.565	12.788	5.323	16	ON	5.323	14.14	19.809	FD31_11.6_on_C101_thread_W1_0016_-60spin	FD31_11.6_on_C101_thread_W1	-83.52
-25671.753	-44.71	12.401	5.118	20	ON	5.118	12.945	20.166	FD31_11.6_on_C101_thread_J1_0020_-45spin	FD31_11.6_on_C101_thread_J1	-93.446
-25806.013	-30.239	12.222	5.098	27	ON	5.098	13.004	19.684	FD31_11.6_on_C101_thread_Q1_0027_-30spin	FD31_11.6_on_C101_thread_Q1	-227.706
-25763.565	-29.39	12.576	4.973	25	ON	4.973	12.938	20.637	FD31_11.6_on_C101_thread_W1_0025_-29spin	FD31_11.6_on_C101_thread_W1	-185.258
