total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-25707.621	179.405	12.162	4.954	4	ON	4.954	12.833	19.497	FD31_Gln_Checker_12.1_on_C101_thread_Q4_0004_179spin	FD31_Gln_Checker_12.1_on_C101_thread_Q4	-127.631
-25706.96	-78.619	11.903	4.803	7	ON	4.803	13.13	18.716	FD31_Gln_Checker_12.1_on_C101_thread_P2_0007_-79spin	FD31_Gln_Checker_12.1_on_C101_thread_P2	-126.97
-25706.757	-28.113	12.095	4.735	18	ON	4.735	13.403	19.057	FD31_Gln_Checker_12.1_on_C101_thread_W1_0018_-28spin	FD31_Gln_Checker_12.1_on_C101_thread_W1	-126.767
-25705.277	150.612	12.195	4.995	27	ON	4.995	13.441	19.114	FD31_Gln_Checker_12.1_on_C101_thread_M3_0027_151spin	FD31_Gln_Checker_12.1_on_C101_thread_M3	-125.287
-25705.204	-179.542	12.187	4.92	13	ON	4.92	12.588	19.618	FD31_Gln_Checker_12.1_on_C101_thread_V3_0013_-180spin	FD31_Gln_Checker_12.1_on_C101_thread_V3	-125.214
-25704.808	-77.525	12.623	5.094	24	ON	5.094	12.735	20.304	FD31_Gln_Checker_12.1_on_C101_thread_X2_0024_-78spin	FD31_Gln_Checker_12.1_on_C101_thread_X2	-124.818
-25700.615	-78.764	12.517	5.463	27	ON	5.463	13.149	19.677	FD31_Gln_Checker_12.1_on_C101_thread_Q3_0027_-79spin	FD31_Gln_Checker_12.1_on_C101_thread_Q3	-120.625
-25700.215	102.479	12.587	5.141	1	ON	5.141	12.906	20.191	FD31_Gln_Checker_12.1_on_C101_thread_W2_0001_102spin	FD31_Gln_Checker_12.1_on_C101_thread_W2	-120.225
-25699.72	-28.381	12.553	5.309	25	ON	5.309	12.995	19.958	FD31_Gln_Checker_12.1_on_C101_thread_T2_0025_-28spin	FD31_Gln_Checker_12.1_on_C101_thread_T2	-119.73
-25699.654	-179.223	12.206	4.89	11	ON	4.89	12.716	19.676	FD31_Gln_Checker_12.1_on_C101_thread_Y3_0011_-179spin	FD31_Gln_Checker_12.1_on_C101_thread_Y3	-119.664
-25705.204	-179.542	12.187	4.92	13	ON	4.92	12.588	19.618	FD31_Gln_Checker_12.1_on_C101_thread_V3_0013_-180spin	FD31_Gln_Checker_12.1_on_C101_thread_V3	-125.214
-25619.732	-164.102	12.797	5.001	30	ON	5.001	14.152	19.703	FD31_Gln_Checker_12.1_on_C101_thread_M3_0030_-164spin	FD31_Gln_Checker_12.1_on_C101_thread_M3	-39.742
-25659.613	-151.516	12.525	5.195	1	ON	5.195	12.841	20.026	FD31_Gln_Checker_12.1_on_C101_thread_Y1_0001_-152spin	FD31_Gln_Checker_12.1_on_C101_thread_Y1	-79.623
-25660.714	-149.926	12.424	5.188	10	ON	5.188	13.2	19.739	FD31_Gln_Checker_12.1_on_C101_thread_V1_0010_-150spin	FD31_Gln_Checker_12.1_on_C101_thread_V1	-80.724
-25619.175	-136.545	12.831	5.213	26	ON	5.213	14.174	19.566	FD31_Gln_Checker_12.1_on_C101_thread_P1_0026_-137spin	FD31_Gln_Checker_12.1_on_C101_thread_P1	-39.185
-25607.806	-129.967	12.502	5.003	3	ON	5.003	13.839	19.244	FD31_Gln_Checker_12.1_on_C101_thread_H4_0003_-130spin	FD31_Gln_Checker_12.1_on_C101_thread_H4	-27.816
-25659.262	-110.28	12.85	5.623	14	ON	5.623	13.404	20.221	FD31_Gln_Checker_12.1_on_C101_thread_H2_0014_-110spin	FD31_Gln_Checker_12.1_on_C101_thread_H2	-79.272
-25687.092	-105.743	12.67	5.373	20	ON	5.373	13.108	20.122	FD31_Gln_Checker_12.1_on_C101_thread_T4_0020_-106spin	FD31_Gln_Checker_12.1_on_C101_thread_T4	-107.102
-25675.89	-98.16	12.768	5.492	7	ON	5.492	13.275	20.186	FD31_Gln_Checker_12.1_on_C101_thread_B1_0007_-98spin	FD31_Gln_Checker_12.1_on_C101_thread_B1	-95.9
-25689.057	-81.783	12.529	4.85	2	ON	4.85	12.611	20.393	FD31_Gln_Checker_12.1_on_C101_thread_K4_0002_-82spin	FD31_Gln_Checker_12.1_on_C101_thread_K4	-109.067
-25706.96	-78.619	11.903	4.803	7	ON	4.803	13.13	18.716	FD31_Gln_Checker_12.1_on_C101_thread_P2_0007_-79spin	FD31_Gln_Checker_12.1_on_C101_thread_P2	-126.97
-25664.414	-69.689	12.711	5.724	19	ON	5.724	13.684	19.673	FD31_Gln_Checker_12.1_on_C101_thread_I3_0019_-70spin	FD31_Gln_Checker_12.1_on_C101_thread_I3	-84.424
-25611.899	-58.828	12.797	5.26	3	ON	5.26	12.904	20.491	FD31_Gln_Checker_12.1_on_C101_thread_A2_0003_-59spin	FD31_Gln_Checker_12.1_on_C101_thread_A2	-31.909
-25619.923	-44.5	12.667	5.48	3	ON	5.48	13.888	19.6	FD31_Gln_Checker_12.1_on_C101_thread_M1_0003_-44spin	FD31_Gln_Checker_12.1_on_C101_thread_M1	-39.933
-25663.949	-30.754	12.818	5.826	18	ON	5.826	13.611	19.888	FD31_Gln_Checker_12.1_on_C101_thread_Q1_0018_-31spin	FD31_Gln_Checker_12.1_on_C101_thread_Q1	-83.959
-25706.757	-28.113	12.095	4.735	18	ON	4.735	13.403	19.057	FD31_Gln_Checker_12.1_on_C101_thread_W1_0018_-28spin	FD31_Gln_Checker_12.1_on_C101_thread_W1	-126.767
-25623.956	-16.289	12.784	5.726	2	ON	5.726	13.879	19.715	FD31_Gln_Checker_12.1_on_C101_thread_P2_0002_-16spin	FD31_Gln_Checker_12.1_on_C101_thread_P2	-43.966
-25683.508	-0.421	12.521	5.178	9	ON	5.178	12.985	20.018	FD31_Gln_Checker_12.1_on_C101_thread_L1_0009_0spin	FD31_Gln_Checker_12.1_on_C101_thread_L1	-103.518
-25679.978	0.358	12.646	5.213	22	ON	5.213	12.935	20.242	FD31_Gln_Checker_12.1_on_C101_thread_W1_0022_0spin	FD31_Gln_Checker_12.1_on_C101_thread_W1	-99.988
-25613.193	15.964	12.612	5.424	30	ON	5.424	13.921	19.357	FD31_Gln_Checker_12.1_on_C101_thread_X1_0030_16spin	FD31_Gln_Checker_12.1_on_C101_thread_X1	-33.203
-25681.224	28.802	12.654	5.215	27	ON	5.215	12.824	20.235	FD31_Gln_Checker_12.1_on_C101_thread_K4_0027_29spin	FD31_Gln_Checker_12.1_on_C101_thread_K4	-101.234
-25650.501	30.114	13.084	5.511	16	ON	5.511	14.194	20.593	FD31_Gln_Checker_12.1_on_C101_thread_Z2_0016_30spin	FD31_Gln_Checker_12.1_on_C101_thread_Z2	-70.511
-25617.825	44.589	12.946	5.603	3	ON	5.603	13.677	20.394	FD31_Gln_Checker_12.1_on_C101_thread_E2_0003_45spin	FD31_Gln_Checker_12.1_on_C101_thread_E2	-37.835
-25610.62	52.264	13.386	5.664	16	ON	5.664	13.937	21.194	FD31_Gln_Checker_12.1_on_C101_thread_V1_0016_52spin	FD31_Gln_Checker_12.1_on_C101_thread_V1	-30.63
-25647.003	69.827	12.839	5.294	25	ON	5.294	12.955	20.538	FD31_Gln_Checker_12.1_on_C101_thread_K2_0025_70spin	FD31_Gln_Checker_12.1_on_C101_thread_K2	-67.013
-25685.969	78.249	12.046	4.81	16	ON	4.81	13.342	18.944	FD31_Gln_Checker_12.1_on_C101_thread_Q3_0016_78spin	FD31_Gln_Checker_12.1_on_C101_thread_Q3	-105.979
-25685.505	89.444	12.293	4.983	23	ON	4.983	13.44	19.482	FD31_Gln_Checker_12.1_on_C101_thread_C1_0023_89spin	FD31_Gln_Checker_12.1_on_C101_thread_C1	-105.515
-25696.963	95.843	12.384	4.743	2	ON	4.743	13.575	19.804	FD31_Gln_Checker_12.1_on_C101_thread_J4_0002_96spin	FD31_Gln_Checker_12.1_on_C101_thread_J4	-116.973
-25700.215	102.479	12.587	5.141	1	ON	5.141	12.906	20.191	FD31_Gln_Checker_12.1_on_C101_thread_W2_0001_102spin	FD31_Gln_Checker_12.1_on_C101_thread_W2	-120.225
-25642.342	110.011	12.689	5.003	7	ON	5.003	12.848	20.574	FD31_Gln_Checker_12.1_on_C101_thread_D2_0007_110spin	FD31_Gln_Checker_12.1_on_C101_thread_D2	-62.352
-25612.078	120.929	13.151	5.533	2	ON	5.533	13.447	20.911	FD31_Gln_Checker_12.1_on_C101_thread_L1_0002_121spin	FD31_Gln_Checker_12.1_on_C101_thread_L1	-32.088
-25617.341	135.883	12.812	5.699	1	ON	5.699	13.491	20.05	FD31_Gln_Checker_12.1_on_C101_thread_L4_0001_136spin	FD31_Gln_Checker_12.1_on_C101_thread_L4	-37.351
-25667.921	148.891	12.861	5.043	13	ON	5.043	13.784	20.692	FD31_Gln_Checker_12.1_on_C101_thread_T3_0013_149spin	FD31_Gln_Checker_12.1_on_C101_thread_T3	-87.931
-25705.277	150.612	12.195	4.995	27	ON	4.995	13.441	19.114	FD31_Gln_Checker_12.1_on_C101_thread_M3_0027_151spin	FD31_Gln_Checker_12.1_on_C101_thread_M3	-125.287
-25615.268	162.886	12.452	4.846	21	ON	4.846	13.802	19.306	FD31_Gln_Checker_12.1_on_C101_thread_N3_0021_163spin	FD31_Gln_Checker_12.1_on_C101_thread_N3	-35.278
-25707.621	179.405	12.162	4.954	4	ON	4.954	12.833	19.497	FD31_Gln_Checker_12.1_on_C101_thread_Q4_0004_179spin	FD31_Gln_Checker_12.1_on_C101_thread_Q4	-127.631
