total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-31217.081	21.806	16.619	9.277	5	ON	9.277	17.428	23.9	FD31_Lys_Checker_10.9_on_C104_thread_V4_0005_22spin	FD31_Lys_Checker_10.9_on_C104_thread_V4	-10.099
-31216.839	63.612	16.876	9.506	10	ON	9.506	17.555	24.311	FD31_Lys_Checker_10.9_on_C104_thread_Z1_0010_64spin	FD31_Lys_Checker_10.9_on_C104_thread_Z1	-9.857
-31216.831	21.174	16.71	9.334	14	ON	9.334	17.627	23.921	FD31_Lys_Checker_10.9_on_C104_thread_J3_0014_21spin	FD31_Lys_Checker_10.9_on_C104_thread_J3	-9.849
-31216.611	62.756	16.859	9.514	3	ON	9.514	17.508	24.285	FD31_Lys_Checker_10.9_on_C104_thread_W1_0003_63spin	FD31_Lys_Checker_10.9_on_C104_thread_W1	-9.629
-31216.458	63.527	16.772	9.427	5	ON	9.427	17.589	24.178	FD31_Lys_Checker_10.9_on_C104_thread_P2_0005_64spin	FD31_Lys_Checker_10.9_on_C104_thread_P2	-9.476
-31216.164	63.354	17.016	9.781	18	ON	9.781	17.558	24.267	FD31_Lys_Checker_10.9_on_C104_thread_R2_0018_63spin	FD31_Lys_Checker_10.9_on_C104_thread_R2	-9.182
-31215.969	-117.547	16.735	9.488	3	ON	9.488	17.195	24.05	FD31_Lys_Checker_10.9_on_C104_thread_I2_0003_-118spin	FD31_Lys_Checker_10.9_on_C104_thread_I2	-8.987
-31215.929	20.393	16.89	9.425	5	ON	9.425	17.321	24.449	FD31_Lys_Checker_10.9_on_C104_thread_Y1_0005_20spin	FD31_Lys_Checker_10.9_on_C104_thread_Y1	-8.947
-31215.851	63.039	16.874	9.352	10	ON	9.352	17.225	24.445	FD31_Lys_Checker_10.9_on_C104_thread_G2_0010_63spin	FD31_Lys_Checker_10.9_on_C104_thread_G2	-8.869
-31215.679	63.09	16.563	9.194	21	ON	9.194	17.507	23.745	FD31_Lys_Checker_10.9_on_C104_thread_Y1_0021_63spin	FD31_Lys_Checker_10.9_on_C104_thread_Y1	-8.697
-31211.974	-179.263	16.897	9.769	5	ON	9.769	17.666	24.069	FD31_Lys_Checker_10.9_on_C104_thread_G4_0005_-179spin	FD31_Lys_Checker_10.9_on_C104_thread_G4	-4.992
-31212.505	-160.854	16.965	9.825	2	ON	9.825	17.688	24.214	FD31_Lys_Checker_10.9_on_C104_thread_C2_0002_-161spin	FD31_Lys_Checker_10.9_on_C104_thread_C2	-5.523
-31214.574	-157.787	16.716	9.296	16	ON	9.296	17.611	24.113	FD31_Lys_Checker_10.9_on_C104_thread_Q4_0016_-158spin	FD31_Lys_Checker_10.9_on_C104_thread_Q4	-7.592
-31211.367	-149.889	16.699	9.301	12	ON	9.301	17.708	23.843	FD31_Lys_Checker_10.9_on_C104_thread_K4_0012_-150spin	FD31_Lys_Checker_10.9_on_C104_thread_K4	-4.385
-31211.45	-131.387	16.793	9.417	23	ON	9.417	17.25	24.263	FD31_Lys_Checker_10.9_on_C104_thread_R3_0023_-131spin	FD31_Lys_Checker_10.9_on_C104_thread_R3	-4.468
-31212.469	-120.142	16.945	9.355	16	ON	9.355	17.243	24.564	FD31_Lys_Checker_10.9_on_C104_thread_Y2_0016_-120spin	FD31_Lys_Checker_10.9_on_C104_thread_Y2	-5.487
-31215.969	-117.547	16.735	9.488	3	ON	9.488	17.195	24.05	FD31_Lys_Checker_10.9_on_C104_thread_I2_0003_-118spin	FD31_Lys_Checker_10.9_on_C104_thread_I2	-8.987
-31211.482	-106.281	17.164	9.637	27	ON	9.637	17.485	24.576	FD31_Lys_Checker_10.9_on_C104_thread_X1_0027_-106spin	FD31_Lys_Checker_10.9_on_C104_thread_X1	-4.5
-31212.337	-90.818	16.916	9.45	16	ON	9.45	17.86	24.169	FD31_Lys_Checker_10.9_on_C104_thread_B1_0016_-91spin	FD31_Lys_Checker_10.9_on_C104_thread_B1	-5.355
-31211.636	-81.095	17.053	9.649	11	ON	9.649	17.622	24.468	FD31_Lys_Checker_10.9_on_C104_thread_X2_0011_-81spin	FD31_Lys_Checker_10.9_on_C104_thread_X2	-4.654
-31211.408	-79.589	16.748	9.369	8	ON	9.369	17.786	23.903	FD31_Lys_Checker_10.9_on_C104_thread_T2_0008_-80spin	FD31_Lys_Checker_10.9_on_C104_thread_T2	-4.426
-31211.973	-62.735	16.809	9.404	7	ON	9.404	17.599	24.155	FD31_Lys_Checker_10.9_on_C104_thread_O2_0007_-63spin	FD31_Lys_Checker_10.9_on_C104_thread_O2	-4.991
-31210.978	-59.792	17.15	9.834	9	ON	9.834	17.598	24.431	FD31_Lys_Checker_10.9_on_C104_thread_Q3_0009_-60spin	FD31_Lys_Checker_10.9_on_C104_thread_Q3	-3.996
-31211.588	-45.236	17.1	9.926	18	ON	9.926	17.816	24.377	FD31_Lys_Checker_10.9_on_C104_thread_X2_0018_-45spin	FD31_Lys_Checker_10.9_on_C104_thread_X2	-4.606
-31211.094	-36.03	17.002	9.779	6	ON	9.779	17.712	24.282	FD31_Lys_Checker_10.9_on_C104_thread_S1_0006_-36spin	FD31_Lys_Checker_10.9_on_C104_thread_S1	-4.112
-31213.964	-21.573	16.957	9.599	2	ON	9.599	17.832	24.3	FD31_Lys_Checker_10.9_on_C104_thread_I4_0002_-22spin	FD31_Lys_Checker_10.9_on_C104_thread_I4	-6.982
-31213.087	-19.385	16.893	9.467	13	ON	9.467	17.719	24.389	FD31_Lys_Checker_10.9_on_C104_thread_F2_0013_-19spin	FD31_Lys_Checker_10.9_on_C104_thread_F2	-6.105
-31212.129	-2.223	17.099	9.795	1	ON	9.795	17.6	24.513	FD31_Lys_Checker_10.9_on_C104_thread_T3_0001_-2spin	FD31_Lys_Checker_10.9_on_C104_thread_T3	-5.147
-31212.475	1.13	17.087	9.848	3	ON	9.848	17.79	24.416	FD31_Lys_Checker_10.9_on_C104_thread_F4_0003_1spin	FD31_Lys_Checker_10.9_on_C104_thread_F4	-5.493
-31214.309	18.823	16.924	9.13	17	ON	9.13	18.088	24.123	FD31_Lys_Checker_10.9_on_C104_thread_J2_0017_19spin	FD31_Lys_Checker_10.9_on_C104_thread_J2	-7.327
-31217.081	21.806	16.619	9.277	5	ON	9.277	17.428	23.9	FD31_Lys_Checker_10.9_on_C104_thread_V4_0005_22spin	FD31_Lys_Checker_10.9_on_C104_thread_V4	-10.099
-31213.065	30.054	16.899	9.575	22	ON	9.575	17.396	24.21	FD31_Lys_Checker_10.9_on_C104_thread_C4_0022_30spin	FD31_Lys_Checker_10.9_on_C104_thread_C4	-6.083
-31212.648	49.085	16.984	9.886	12	ON	9.886	17.634	24.193	FD31_Lys_Checker_10.9_on_C104_thread_M4_0012_49spin	FD31_Lys_Checker_10.9_on_C104_thread_M4	-5.666
-31212.419	50.345	16.78	9.446	14	ON	9.446	17.789	23.918	FD31_Lys_Checker_10.9_on_C104_thread_Z3_0014_50spin	FD31_Lys_Checker_10.9_on_C104_thread_Z3	-5.437
-31216.839	63.612	16.876	9.506	10	ON	9.506	17.555	24.311	FD31_Lys_Checker_10.9_on_C104_thread_Z1_0010_64spin	FD31_Lys_Checker_10.9_on_C104_thread_Z1	-9.857
-31211.732	75.678	16.967	9.687	17	ON	9.687	17.813	24.248	FD31_Lys_Checker_10.9_on_C104_thread_U2_0017_76spin	FD31_Lys_Checker_10.9_on_C104_thread_U2	-4.75
-31212.67	89.866	17.034	9.359	5	ON	9.359	18.296	24.279	FD31_Lys_Checker_10.9_on_C104_thread_G1_0005_90spin	FD31_Lys_Checker_10.9_on_C104_thread_G1	-5.688
-31212.797	91.047	17.123	9.696	16	ON	9.696	18.225	24.213	FD31_Lys_Checker_10.9_on_C104_thread_V2_0016_91spin	FD31_Lys_Checker_10.9_on_C104_thread_V2	-5.815
-31211.613	105.615	16.924	9.722	2	ON	9.722	17.657	24.166	FD31_Lys_Checker_10.9_on_C104_thread_H3_0002_106spin	FD31_Lys_Checker_10.9_on_C104_thread_H3	-4.631
-31212.229	115.129	17.017	9.825	7	ON	9.825	17.65	24.271	FD31_Lys_Checker_10.9_on_C104_thread_M4_0007_115spin	FD31_Lys_Checker_10.9_on_C104_thread_M4	-5.247
-31211.12	129.262	17.028	9.757	22	ON	9.757	17.75	24.334	FD31_Lys_Checker_10.9_on_C104_thread_Z1_0022_129spin	FD31_Lys_Checker_10.9_on_C104_thread_Z1	-4.138
-31211.847	133.52	17.238	9.528	8	ON	9.528	17.615	24.839	FD31_Lys_Checker_10.9_on_C104_thread_Z3_0008_134spin	FD31_Lys_Checker_10.9_on_C104_thread_Z3	-4.865
-31210.817	141.705	17.18	10.106	6	ON	10.106	17.852	24.388	FD31_Lys_Checker_10.9_on_C104_thread_B2_0006_142spin	FD31_Lys_Checker_10.9_on_C104_thread_B2	-3.835
-31213.512	159.266	16.959	9.333	9	ON	9.333	18.17	23.948	FD31_Lys_Checker_10.9_on_C104_thread_A2_0009_159spin	FD31_Lys_Checker_10.9_on_C104_thread_A2	-6.53
-31212.353	161.129	17.006	9.48	1	ON	9.48	17.609	24.546	FD31_Lys_Checker_10.9_on_C104_thread_R3_0001_161spin	FD31_Lys_Checker_10.9_on_C104_thread_R3	-5.371
-31211.667	178.308	17.1	9.926	15	ON	9.926	17.859	24.361	FD31_Lys_Checker_10.9_on_C104_thread_Q1_0015_178spin	FD31_Lys_Checker_10.9_on_C104_thread_Q1	-4.685
