total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-19034.423	44.661	9.999	3.743	6	ON	3.743	10.223	16.39	DHR49_neg_10.7_on_C110_thread_H5_0006_45spin	DHR49_neg_10.7_on_C110_thread_H5	-38.791
-19029.916	-135.356	10.064	3.658	24	ON	3.658	10.236	16.591	DHR49_neg_10.7_on_C110_thread_Y5_0024_-135spin	DHR49_neg_10.7_on_C110_thread_Y5	-34.284
-19026.881	79.272	12.711	3.479	1	ON	3.479	12.487	22.07	DHR49_neg_10.7_on_C110_thread_G5_0001_79spin	DHR49_neg_10.7_on_C110_thread_G5	-31.249
-19024.843	79.259	12.749	3.536	28	ON	3.536	12.507	22.098	DHR49_neg_10.7_on_C110_thread_Q5_0028_79spin	DHR49_neg_10.7_on_C110_thread_Q5	-29.211
-19023.982	44.621	15.633	3.767	14	ON	3.767	15.571	27.519	DHR49_neg_10.7_on_C110_thread_T6_0014_45spin	DHR49_neg_10.7_on_C110_thread_T6	-28.35
-19023.461	44.827	9.941	3.567	24	ON	3.567	10.175	16.207	DHR49_neg_10.7_on_C110_thread_E1_0024_45spin	DHR49_neg_10.7_on_C110_thread_E1	-27.829
-19020.878	-135.428	9.902	3.48	2	ON	3.48	10.155	16.331	DHR49_neg_10.7_on_C110_thread_W4_0002_-135spin	DHR49_neg_10.7_on_C110_thread_W4	-25.246
-19019.93	-135.351	10.187	3.799	22	ON	3.799	10.388	16.365	DHR49_neg_10.7_on_C110_thread_F5_0022_-135spin	DHR49_neg_10.7_on_C110_thread_F5	-24.298
-19019.583	44.519	9.981	3.444	19	ON	3.444	10.14	16.536	DHR49_neg_10.7_on_C110_thread_Y2_0019_45spin	DHR49_neg_10.7_on_C110_thread_Y2	-23.951
-19019.156	45.203	9.87	3.465	22	ON	3.465	10.105	16.133	DHR49_neg_10.7_on_C110_thread_S4_0022_45spin	DHR49_neg_10.7_on_C110_thread_S4	-23.524
