total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-19169.673	79.403	13.409	4.931	29	ON	4.931	12.956	23.038	FD31_Asp_10.6_on_C110_thread_I1_0029_79spin	FD31_Asp_10.6_on_C110_thread_I1	-6.717
-19167.161	-134.404	16.264	5.253	4	ON	5.253	15.709	28.731	FD31_Asp_10.6_on_C110_thread_D3_0004_-134spin	FD31_Asp_10.6_on_C110_thread_D3	-4.205
-19167.071	46.137	21.68	4.596	24	ON	4.596	21.846	41.247	FD31_Asp_10.6_on_C110_thread_G4_0024_46spin	FD31_Asp_10.6_on_C110_thread_G4	-4.115
-19164.952	9.118	17.421	5.409	27	ON	5.409	17.069	31.061	FD31_Asp_10.6_on_C110_thread_V3_0027_9spin	FD31_Asp_10.6_on_C110_thread_V3	-1.996
-19164.77	44.978	18.75	4.632	29	ON	4.632	18.479	34.892	FD31_Asp_10.6_on_C110_thread_Y1_0029_45spin	FD31_Asp_10.6_on_C110_thread_Y1	-1.814
-19164.723	-135.172	11.465	3.484	17	ON	3.484	12.165	19.593	FD31_Asp_10.6_on_C110_thread_K3_0017_-135spin	FD31_Asp_10.6_on_C110_thread_K3	-1.767
-19164.355	45.874	19.665	4.38	21	ON	4.38	19.905	35.116	FD31_Asp_10.6_on_C110_thread_T3_0021_46spin	FD31_Asp_10.6_on_C110_thread_T3	-1.399
-19164.295	143.913	22.996	5.838	17	ON	5.838	23.076	41.834	FD31_Asp_10.6_on_C110_thread_E4_0017_144spin	FD31_Asp_10.6_on_C110_thread_E4	-1.339
-19164.173	143.482	21.46	5.637	8	ON	5.637	22.183	38.679	FD31_Asp_10.6_on_C110_thread_H2_0008_143spin	FD31_Asp_10.6_on_C110_thread_H2	-1.217
-19164.17	-166.165	21.497	5.662	23	ON	5.662	21.094	39.593	FD31_Asp_10.6_on_C110_thread_D1_0023_-166spin	FD31_Asp_10.6_on_C110_thread_D1	-1.214
-19163.375	-175.366	22.967	5.356	27	ON	5.356	23.031	41.66	FD31_Asp_10.6_on_C110_thread_M3_0027_-175spin	FD31_Asp_10.6_on_C110_thread_M3	-0.419
-19164.17	-166.165	21.497	5.662	23	ON	5.662	21.094	39.593	FD31_Asp_10.6_on_C110_thread_D1_0023_-166spin	FD31_Asp_10.6_on_C110_thread_D1	-1.214
