total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-18119.625	-118.873	10.505	4.044	14	ON	4.044	10.699	17.368	DHR49_neg_10.0_on_V010_thread_K3_0014_-119spin	DHR49_neg_10.0_on_V010_thread_K3	-581.958
-18110.748	-118.991	10.64	4.052	2	ON	4.052	10.809	17.436	DHR49_neg_10.0_on_V010_thread_P2_0002_-119spin	DHR49_neg_10.0_on_V010_thread_P2	-573.081
-18108.934	63.329	10.483	4.019	25	ON	4.019	10.679	17.363	DHR49_neg_10.0_on_V010_thread_V1_0025_63spin	DHR49_neg_10.0_on_V010_thread_V1	-571.267
-18108.308	60.892	10.645	3.914	21	ON	3.914	10.812	17.623	DHR49_neg_10.0_on_V010_thread_B4_0021_61spin	DHR49_neg_10.0_on_V010_thread_B4	-570.641
-18104.537	64.019	10.517	4.104	27	ON	4.104	10.742	17.288	DHR49_neg_10.0_on_V010_thread_X3_0027_64spin	DHR49_neg_10.0_on_V010_thread_X3	-566.87
-18103.257	60.859	10.786	3.976	20	ON	3.976	10.992	18.238	DHR49_neg_10.0_on_V010_thread_X3_0020_61spin	DHR49_neg_10.0_on_V010_thread_X3	-565.59
-18100.762	61.556	10.742	4.278	14	ON	4.278	10.938	17.622	DHR49_neg_10.0_on_V010_thread_A3_0014_62spin	DHR49_neg_10.0_on_V010_thread_A3	-563.095
-18100.517	122.379	10.638	4.156	23	ON	4.156	10.877	17.727	DHR49_neg_10.0_on_V010_thread_C1_0023_122spin	DHR49_neg_10.0_on_V010_thread_C1	-562.85
-18097.917	123.634	10.521	4.14	7	ON	4.14	10.774	17.379	DHR49_neg_10.0_on_V010_thread_S3_0007_124spin	DHR49_neg_10.0_on_V010_thread_S3	-560.25
-18097.906	56.717	10.574	4.097	20	ON	4.097	10.759	17.342	DHR49_neg_10.0_on_V010_thread_F1_0020_57spin	DHR49_neg_10.0_on_V010_thread_F1	-560.239
-18038.205	-179.341	10.738	4.196	2	ON	4.196	11.057	17.926	DHR49_neg_10.0_on_V010_thread_C1_0002_-179spin	DHR49_neg_10.0_on_V010_thread_C1	-500.538
-18034.061	-163.03	10.556	4.092	9	ON	4.092	10.752	17.436	DHR49_neg_10.0_on_V010_thread_J1_0009_-163spin	DHR49_neg_10.0_on_V010_thread_J1	-496.394
-18023.32	-155.596	10.77	4.391	14	ON	4.391	10.981	17.699	DHR49_neg_10.0_on_V010_thread_S3_0014_-156spin	DHR49_neg_10.0_on_V010_thread_S3	-485.653
-18003.849	-148.425	10.581	4.122	13	ON	4.122	10.77	17.371	DHR49_neg_10.0_on_V010_thread_G4_0013_-148spin	DHR49_neg_10.0_on_V010_thread_G4	-466.182
-18026.719	-130.673	10.609	4.145	9	ON	4.145	10.805	17.489	DHR49_neg_10.0_on_V010_thread_U3_0009_-131spin	DHR49_neg_10.0_on_V010_thread_U3	-489.052
-18082.663	-122.693	10.527	4.104	27	ON	4.104	10.79	17.337	DHR49_neg_10.0_on_V010_thread_P4_0027_-123spin	DHR49_neg_10.0_on_V010_thread_P4	-544.996
-18119.625	-118.873	10.505	4.044	14	ON	4.044	10.699	17.368	DHR49_neg_10.0_on_V010_thread_K3_0014_-119spin	DHR49_neg_10.0_on_V010_thread_K3	-581.958
-18037.413	-109.113	10.573	4.11	7	ON	4.11	10.769	17.454	DHR49_neg_10.0_on_V010_thread_U1_0007_-109spin	DHR49_neg_10.0_on_V010_thread_U1	-499.746
