total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-18133.713	127.833	12.085	4.646	18	ON	4.646	12.194	19.932	FD31_10.5_on_V010_thread_E1_0018_128spin	FD31_10.5_on_V010_thread_E1	-516.122
-18133.408	128.498	12.199	4.61	20	ON	4.61	12.023	20.133	FD31_10.5_on_V010_thread_E1_0020_128spin	FD31_10.5_on_V010_thread_E1	-515.817
-18121.466	127.216	12.082	4.583	4	ON	4.583	12.023	20.056	FD31_10.5_on_V010_thread_X1_0004_127spin	FD31_10.5_on_V010_thread_X1	-503.875
-18120.651	126.203	12.056	4.435	4	ON	4.435	12.369	19.991	FD31_10.5_on_V010_thread_G3_0004_126spin	FD31_10.5_on_V010_thread_G3	-503.06
-18118.67	-0.096	11.943	4.147	9	ON	4.147	12.599	19.714	FD31_10.5_on_V010_thread_X1_0009_0spin	FD31_10.5_on_V010_thread_X1	-501.079
-18113.438	-179.561	12.303	4.88	23	ON	4.88	12.527	20.126	FD31_10.5_on_V010_thread_D1_0023_-180spin	FD31_10.5_on_V010_thread_D1	-495.847
-18111.695	-52.84	12.323	4.837	6	ON	4.837	12.367	20.185	FD31_10.5_on_V010_thread_W1_0006_-53spin	FD31_10.5_on_V010_thread_W1	-494.104
-18110.392	-128.748	12.126	4.401	12	ON	4.401	12.896	19.797	FD31_10.5_on_V010_thread_A2_0012_-129spin	FD31_10.5_on_V010_thread_A2	-492.801
-18109.336	125.132	12.086	4.406	4	ON	4.406	11.835	20.023	FD31_10.5_on_V010_thread_D3_0004_125spin	FD31_10.5_on_V010_thread_D3	-491.745
-18108.646	127.932	12.247	4.575	19	ON	4.575	12.053	20.257	FD31_10.5_on_V010_thread_K3_0019_128spin	FD31_10.5_on_V010_thread_K3	-491.055
-18113.438	-179.561	12.303	4.88	23	ON	4.88	12.527	20.126	FD31_10.5_on_V010_thread_D1_0023_-180spin	FD31_10.5_on_V010_thread_D1	-495.847
-18042.967	-168.215	12.501	4.881	22	ON	4.881	12.905	20.36	FD31_10.5_on_V010_thread_H1_0022_-168spin	FD31_10.5_on_V010_thread_H1	-425.376
-18020.196	-158.813	12.514	5.083	1	ON	5.083	12.89	20.294	FD31_10.5_on_V010_thread_G1_0001_-159spin	FD31_10.5_on_V010_thread_G1	-402.605
-18042.335	-144.744	12.404	4.99	10	ON	4.99	12.617	20.225	FD31_10.5_on_V010_thread_H1_0010_-145spin	FD31_10.5_on_V010_thread_H1	-424.744
-18078.233	-130.874	12.111	4.38	22	ON	4.38	12.246	20.139	FD31_10.5_on_V010_thread_J3_0022_-131spin	FD31_10.5_on_V010_thread_J3	-460.642
-18110.392	-128.748	12.126	4.401	12	ON	4.401	12.896	19.797	FD31_10.5_on_V010_thread_A2_0012_-129spin	FD31_10.5_on_V010_thread_A2	-492.801
-18074.153	-118.689	12.183	4.635	20	ON	4.635	12.685	19.977	FD31_10.5_on_V010_thread_E2_0020_-119spin	FD31_10.5_on_V010_thread_E2	-456.562
-18042.974	-101.537	12.257	4.795	17	ON	4.795	12.634	20.038	FD31_10.5_on_V010_thread_N1_0017_-102spin	FD31_10.5_on_V010_thread_N1	-425.383
-18024.789	-99.416	12.55	4.818	11	ON	4.818	13.188	20.3	FD31_10.5_on_V010_thread_N4_0011_-99spin	FD31_10.5_on_V010_thread_N4	-407.198
-18028.595	-82.372	12.587	5.037	4	ON	5.037	13.132	20.347	FD31_10.5_on_V010_thread_H2_0004_-82spin	FD31_10.5_on_V010_thread_H2	-411.004
-18041.148	-75.728	12.205	4.724	5	ON	4.724	12.44	20.053	FD31_10.5_on_V010_thread_J4_0005_-76spin	FD31_10.5_on_V010_thread_J4	-423.557
-18034.179	-63.296	12.103	4.618	23	ON	4.618	12.295	19.946	FD31_10.5_on_V010_thread_Z2_0023_-63spin	FD31_10.5_on_V010_thread_Z2	-416.588
-18111.695	-52.84	12.323	4.837	6	ON	4.837	12.367	20.185	FD31_10.5_on_V010_thread_W1_0006_-53spin	FD31_10.5_on_V010_thread_W1	-494.104
-18063.753	-49.219	12.467	4.825	27	ON	4.825	12.429	20.363	FD31_10.5_on_V010_thread_C3_0027_-49spin	FD31_10.5_on_V010_thread_C3	-446.162
-18079.342	-36.444	12.072	4.468	21	ON	4.468	12.676	19.821	FD31_10.5_on_V010_thread_H4_0021_-36spin	FD31_10.5_on_V010_thread_H4	-461.751
-18048.429	-29.756	12.153	4.528	23	ON	4.528	12.063	20.046	FD31_10.5_on_V010_thread_A3_0023_-30spin	FD31_10.5_on_V010_thread_A3	-430.838
-18048.217	-11.389	12.479	4.955	19	ON	4.955	12.361	20.42	FD31_10.5_on_V010_thread_V2_0019_-11spin	FD31_10.5_on_V010_thread_V2	-430.626
-18118.67	-0.096	11.943	4.147	9	ON	4.147	12.599	19.714	FD31_10.5_on_V010_thread_X1_0009_0spin	FD31_10.5_on_V010_thread_X1	-501.079
-18054.062	0.311	12.665	4.937	26	ON	4.937	12.45	20.652	FD31_10.5_on_V010_thread_H4_0026_0spin	FD31_10.5_on_V010_thread_H4	-436.471
-18031.704	12.073	12.356	4.775	10	ON	4.775	12.162	20.31	FD31_10.5_on_V010_thread_T1_0010_12spin	FD31_10.5_on_V010_thread_T1	-414.113
-18035.692	22.486	12.212	4.395	12	ON	4.395	12.267	20.288	FD31_10.5_on_V010_thread_W3_0012_22spin	FD31_10.5_on_V010_thread_W3	-418.101
-18058.014	37.777	12.173	4.757	7	ON	4.757	12.245	20.129	FD31_10.5_on_V010_thread_X2_0007_38spin	FD31_10.5_on_V010_thread_X2	-440.423
-18032.281	45.064	12.249	4.719	14	ON	4.719	12.528	20.152	FD31_10.5_on_V010_thread_M3_0014_45spin	FD31_10.5_on_V010_thread_M3	-414.69
-18081.285	50.47	12.504	4.854	5	ON	4.854	12.359	20.606	FD31_10.5_on_V010_thread_S1_0005_50spin	FD31_10.5_on_V010_thread_S1	-463.694
-18060.198	60.056	12.268	4.657	25	ON	4.657	12.129	20.174	FD31_10.5_on_V010_thread_D1_0025_60spin	FD31_10.5_on_V010_thread_D1	-442.607
-18039.173	76.991	12.544	5.057	18	ON	5.057	12.535	20.43	FD31_10.5_on_V010_thread_V4_0018_77spin	FD31_10.5_on_V010_thread_V4	-421.582
-18041.827	87.163	12.157	4.403	25	ON	4.403	12.725	19.971	FD31_10.5_on_V010_thread_P3_0025_87spin	FD31_10.5_on_V010_thread_P3	-424.236
-18045.662	92.529	12.204	4.83	23	ON	4.83	12.442	20.018	FD31_10.5_on_V010_thread_O3_0023_93spin	FD31_10.5_on_V010_thread_O3	-428.071
-18021.08	109.322	12.288	4.51	25	ON	4.51	12.046	20.267	FD31_10.5_on_V010_thread_C4_0025_109spin	FD31_10.5_on_V010_thread_C4	-403.489
-18052.208	116.247	12.108	4.572	23	ON	4.572	12.371	20.023	FD31_10.5_on_V010_thread_I2_0023_116spin	FD31_10.5_on_V010_thread_I2	-434.617
-18133.713	127.833	12.085	4.646	18	ON	4.646	12.194	19.932	FD31_10.5_on_V010_thread_E1_0018_128spin	FD31_10.5_on_V010_thread_E1	-516.122
-18082.869	131.398	12.32	4.728	3	ON	4.728	12.125	20.31	FD31_10.5_on_V010_thread_J3_0003_131spin	FD31_10.5_on_V010_thread_J3	-465.278
-18026.56	143.824	12.457	4.744	6	ON	4.744	13.165	20.149	FD31_10.5_on_V010_thread_X2_0006_144spin	FD31_10.5_on_V010_thread_X2	-408.969
-18064.764	156.427	12.202	4.501	4	ON	4.501	11.998	20.291	FD31_10.5_on_V010_thread_S2_0004_156spin	FD31_10.5_on_V010_thread_S2	-447.173
-18039.632	166.939	12.002	4.538	25	ON	4.538	12.4	19.777	FD31_10.5_on_V010_thread_W1_0025_167spin	FD31_10.5_on_V010_thread_W1	-422.041
-18106.004	179.205	12.371	4.946	1	ON	4.946	12.664	20.197	FD31_10.5_on_V010_thread_K2_0001_179spin	FD31_10.5_on_V010_thread_K2	-488.413
