total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-18644.848	132.213	11.126	3.857	3	ON	3.857	11.551	18.602	FD31_Asp_11.4_on_V010_thread_Y3_0003_132spin	FD31_Asp_11.4_on_V010_thread_Y3	-688.831
-18615.998	132.441	11.389	4.097	30	ON	4.097	11.673	18.842	FD31_Asp_11.4_on_V010_thread_Y2_0030_132spin	FD31_Asp_11.4_on_V010_thread_Y2	-659.981
-18615.832	133.145	11.278	3.839	29	ON	3.839	11.369	18.867	FD31_Asp_11.4_on_V010_thread_Q3_0029_133spin	FD31_Asp_11.4_on_V010_thread_Q3	-659.815
-18613.798	132.22	11.303	3.928	10	ON	3.928	11.583	18.848	FD31_Asp_11.4_on_V010_thread_L2_0010_132spin	FD31_Asp_11.4_on_V010_thread_L2	-657.781
-18609.335	133.123	11.271	3.832	17	ON	3.832	11.363	18.86	FD31_Asp_11.4_on_V010_thread_I4_0017_133spin	FD31_Asp_11.4_on_V010_thread_I4	-653.318
-18606.737	132.447	11.405	4.273	30	ON	4.273	12.253	18.623	FD31_Asp_11.4_on_V010_thread_U4_0030_132spin	FD31_Asp_11.4_on_V010_thread_U4	-650.72
-18601.233	133.699	11.358	4.014	10	ON	4.014	11.563	18.84	FD31_Asp_11.4_on_V010_thread_V3_0010_134spin	FD31_Asp_11.4_on_V010_thread_V3	-645.216
-18600.563	132.571	11.427	4.253	8	ON	4.253	11.857	18.751	FD31_Asp_11.4_on_V010_thread_E3_0008_133spin	FD31_Asp_11.4_on_V010_thread_E3	-644.546
-18600.086	132.569	11.427	4.252	6	ON	4.252	11.841	18.727	FD31_Asp_11.4_on_V010_thread_M2_0006_133spin	FD31_Asp_11.4_on_V010_thread_M2	-644.069
-18596.243	133.11	11.481	4.128	9	ON	4.128	11.754	18.999	FD31_Asp_11.4_on_V010_thread_P4_0009_133spin	FD31_Asp_11.4_on_V010_thread_P4	-640.226
-18481.986	-179.866	11.651	4.43	7	ON	4.43	12.422	19.103	FD31_Asp_11.4_on_V010_thread_I3_0007_-180spin	FD31_Asp_11.4_on_V010_thread_I3	-525.969
-18438.761	-168.279	11.615	4.501	27	ON	4.501	12.15	18.933	FD31_Asp_11.4_on_V010_thread_U4_0027_-168spin	FD31_Asp_11.4_on_V010_thread_U4	-482.744
-18428.645	-158.344	11.669	4.614	11	ON	4.614	12.355	18.879	FD31_Asp_11.4_on_V010_thread_U1_0011_-158spin	FD31_Asp_11.4_on_V010_thread_U1	-472.628
-18415.141	-145.657	11.837	4.518	19	ON	4.518	12.425	19.383	FD31_Asp_11.4_on_V010_thread_A3_0019_-146spin	FD31_Asp_11.4_on_V010_thread_A3	-459.124
-18509.386	-132.511	11.3	4.024	15	ON	4.024	11.694	18.784	FD31_Asp_11.4_on_V010_thread_Y2_0015_-133spin	FD31_Asp_11.4_on_V010_thread_Y2	-553.369
-18466.626	-128.958	11.427	4.153	12	ON	4.153	11.847	18.909	FD31_Asp_11.4_on_V010_thread_D2_0012_-129spin	FD31_Asp_11.4_on_V010_thread_D2	-510.609
-18459.234	-114.572	11.659	4.319	7	ON	4.319	11.89	19.175	FD31_Asp_11.4_on_V010_thread_L1_0007_-115spin	FD31_Asp_11.4_on_V010_thread_L1	-503.217
-18430.043	-108.096	11.638	4.322	16	ON	4.322	11.899	19.127	FD31_Asp_11.4_on_V010_thread_R1_0016_-108spin	FD31_Asp_11.4_on_V010_thread_R1	-474.026
-18435.499	-92.714	11.399	4.341	18	ON	4.341	12.045	18.658	FD31_Asp_11.4_on_V010_thread_V4_0018_-93spin	FD31_Asp_11.4_on_V010_thread_V4	-479.482
-18450.732	-81.91	11.471	4.336	2	ON	4.336	11.961	18.772	FD31_Asp_11.4_on_V010_thread_A3_0002_-82spin	FD31_Asp_11.4_on_V010_thread_A3	-494.715
-18484.295	-79.386	11.441	4.188	13	ON	4.188	11.938	18.891	FD31_Asp_11.4_on_V010_thread_O4_0013_-79spin	FD31_Asp_11.4_on_V010_thread_O4	-528.278
-18436.506	-61.617	11.642	4.525	22	ON	4.525	12.34	18.997	FD31_Asp_11.4_on_V010_thread_J3_0022_-62spin	FD31_Asp_11.4_on_V010_thread_J3	-480.489
-18480.76	-52.037	11.761	4.616	2	ON	4.616	12.233	19.041	FD31_Asp_11.4_on_V010_thread_Z1_0002_-52spin	FD31_Asp_11.4_on_V010_thread_Z1	-524.743
-18532.642	-47.77	11.453	4.208	3	ON	4.208	11.923	18.9	FD31_Asp_11.4_on_V010_thread_M3_0003_-48spin	FD31_Asp_11.4_on_V010_thread_M3	-576.625
-18491.597	-32.061	11.427	4.143	1	ON	4.143	11.78	18.869	FD31_Asp_11.4_on_V010_thread_A3_0001_-32spin	FD31_Asp_11.4_on_V010_thread_A3	-535.58
-18470.348	-21.911	11.555	4.327	27	ON	4.327	11.905	18.912	FD31_Asp_11.4_on_V010_thread_H4_0027_-22spin	FD31_Asp_11.4_on_V010_thread_H4	-514.331
-18488.522	-19.939	11.483	4.253	2	ON	4.253	11.998	18.918	FD31_Asp_11.4_on_V010_thread_W2_0002_-20spin	FD31_Asp_11.4_on_V010_thread_W2	-532.505
-18502.12	-0.439	11.611	4.571	2	ON	4.571	12.324	18.83	FD31_Asp_11.4_on_V010_thread_F1_0002_0spin	FD31_Asp_11.4_on_V010_thread_F1	-546.103
-18511.554	0.611	11.618	4.426	28	ON	4.426	12.022	18.944	FD31_Asp_11.4_on_V010_thread_X3_0028_1spin	FD31_Asp_11.4_on_V010_thread_X3	-555.537
-18431.189	15.328	11.671	4.603	9	ON	4.603	12.316	18.961	FD31_Asp_11.4_on_V010_thread_K4_0009_15spin	FD31_Asp_11.4_on_V010_thread_K4	-475.172
