total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-18292.894	-179.659	11.9	4.914	3	ON	4.914	12.555	19.028	FD31_Gln_Checker_12.4_on_V010_thread_H4_0003_-180spin	FD31_Gln_Checker_12.4_on_V010_thread_H4	-362.819
-18285.217	179.377	11.76	4.526	30	ON	4.526	13.022	18.645	FD31_Gln_Checker_12.4_on_V010_thread_K1_0030_179spin	FD31_Gln_Checker_12.4_on_V010_thread_K1	-355.142
-18284.324	0.545	11.657	4.618	22	ON	4.618	12.496	18.645	FD31_Gln_Checker_12.4_on_V010_thread_B4_0022_1spin	FD31_Gln_Checker_12.4_on_V010_thread_B4	-354.249
-18270.653	-179.396	11.973	4.472	29	ON	4.472	13.39	18.664	FD31_Gln_Checker_12.4_on_V010_thread_X3_0029_-179spin	FD31_Gln_Checker_12.4_on_V010_thread_X3	-340.578
-18269.661	-0.079	11.857	3.685	24	ON	3.685	13.045	19.276	FD31_Gln_Checker_12.4_on_V010_thread_G3_0024_0spin	FD31_Gln_Checker_12.4_on_V010_thread_G3	-339.586
-18264.809	179.752	12.063	5.171	19	ON	5.171	12.783	19.016	FD31_Gln_Checker_12.4_on_V010_thread_T2_0019_180spin	FD31_Gln_Checker_12.4_on_V010_thread_T2	-334.734
-18261.823	-179.528	12.05	4.956	30	ON	4.956	12.581	19.332	FD31_Gln_Checker_12.4_on_V010_thread_P4_0030_-180spin	FD31_Gln_Checker_12.4_on_V010_thread_P4	-331.748
-18259.559	178.955	11.663	4.597	23	ON	4.597	12.09	18.896	FD31_Gln_Checker_12.4_on_V010_thread_S2_0023_179spin	FD31_Gln_Checker_12.4_on_V010_thread_S2	-329.484
-18258.952	179.714	12.021	4.822	5	ON	4.822	13.09	19.088	FD31_Gln_Checker_12.4_on_V010_thread_S3_0005_180spin	FD31_Gln_Checker_12.4_on_V010_thread_S3	-328.877
-18254.642	137.545	12.072	4.891	12	ON	4.891	12.519	19.321	FD31_Gln_Checker_12.4_on_V010_thread_A4_0012_138spin	FD31_Gln_Checker_12.4_on_V010_thread_A4	-324.567
-18292.894	-179.659	11.9	4.914	3	ON	4.914	12.555	19.028	FD31_Gln_Checker_12.4_on_V010_thread_H4_0003_-180spin	FD31_Gln_Checker_12.4_on_V010_thread_H4	-362.819
-18172.414	-160.21	12.385	5.462	24	ON	5.462	13.293	19.233	FD31_Gln_Checker_12.4_on_V010_thread_T4_0024_-160spin	FD31_Gln_Checker_12.4_on_V010_thread_T4	-242.339
-18181.639	-156.352	12.244	5.141	12	ON	5.141	12.92	19.39	FD31_Gln_Checker_12.4_on_V010_thread_C2_0012_-156spin	FD31_Gln_Checker_12.4_on_V010_thread_C2	-251.564
-18189.409	-149.492	12.023	5.097	17	ON	5.097	12.77	18.989	FD31_Gln_Checker_12.4_on_V010_thread_X3_0017_-149spin	FD31_Gln_Checker_12.4_on_V010_thread_X3	-259.334
-18214.929	-139.059	12.251	5.21	27	ON	5.21	12.739	19.409	FD31_Gln_Checker_12.4_on_V010_thread_I2_0027_-139spin	FD31_Gln_Checker_12.4_on_V010_thread_I2	-284.854
-18173.541	-123.343	12.076	5.014	11	ON	5.014	12.887	19.126	FD31_Gln_Checker_12.4_on_V010_thread_J4_0011_-123spin	FD31_Gln_Checker_12.4_on_V010_thread_J4	-243.466
-18185.184	-118.771	12.054	4.965	5	ON	4.965	12.894	19.12	FD31_Gln_Checker_12.4_on_V010_thread_Q4_0005_-119spin	FD31_Gln_Checker_12.4_on_V010_thread_Q4	-255.109
-18159.691	-107.792	12.293	4.726	14	ON	4.726	12.502	19.96	FD31_Gln_Checker_12.4_on_V010_thread_I4_0014_-108spin	FD31_Gln_Checker_12.4_on_V010_thread_I4	-229.616
-18196.79	-91.694	12.136	5.025	1	ON	5.025	13.066	19.183	FD31_Gln_Checker_12.4_on_V010_thread_R3_0001_-92spin	FD31_Gln_Checker_12.4_on_V010_thread_R3	-266.715
-18164.017	-88.216	12.147	4.965	20	ON	4.965	12.717	19.38	FD31_Gln_Checker_12.4_on_V010_thread_P4_0020_-88spin	FD31_Gln_Checker_12.4_on_V010_thread_P4	-233.942
-18181.133	-77.866	12.222	5.185	21	ON	5.185	12.695	19.406	FD31_Gln_Checker_12.4_on_V010_thread_S1_0021_-78spin	FD31_Gln_Checker_12.4_on_V010_thread_S1	-251.058
-18172.052	-60.326	12.23	5.341	7	ON	5.341	12.96	19.176	FD31_Gln_Checker_12.4_on_V010_thread_T1_0007_-60spin	FD31_Gln_Checker_12.4_on_V010_thread_T1	-241.977
-18178.686	-56.436	12.002	4.88	25	ON	4.88	12.434	19.201	FD31_Gln_Checker_12.4_on_V010_thread_V4_0025_-56spin	FD31_Gln_Checker_12.4_on_V010_thread_V4	-248.611
-18235.715	-41.904	11.779	4.654	12	ON	4.654	12.378	18.957	FD31_Gln_Checker_12.4_on_V010_thread_P2_0012_-42spin	FD31_Gln_Checker_12.4_on_V010_thread_P2	-305.64
-18165.428	-30.485	12.286	5.34	2	ON	5.34	13.086	19.223	FD31_Gln_Checker_12.4_on_V010_thread_P4_0002_-30spin	FD31_Gln_Checker_12.4_on_V010_thread_P4	-235.353
-18177.036	-20.421	12.253	4.863	11	ON	4.863	12.462	19.842	FD31_Gln_Checker_12.4_on_V010_thread_D3_0011_-20spin	FD31_Gln_Checker_12.4_on_V010_thread_D3	-246.961
-18182.142	-19.808	12.273	4.887	4	ON	4.887	12.48	19.86	FD31_Gln_Checker_12.4_on_V010_thread_Y2_0004_-20spin	FD31_Gln_Checker_12.4_on_V010_thread_Y2	-252.067
-18269.661	-0.079	11.857	3.685	24	ON	3.685	13.045	19.276	FD31_Gln_Checker_12.4_on_V010_thread_G3_0024_0spin	FD31_Gln_Checker_12.4_on_V010_thread_G3	-339.586
-18284.324	0.545	11.657	4.618	22	ON	4.618	12.496	18.645	FD31_Gln_Checker_12.4_on_V010_thread_B4_0022_1spin	FD31_Gln_Checker_12.4_on_V010_thread_B4	-354.249
-18185.997	16.84	12.064	5.02	19	ON	5.02	12.925	19.073	FD31_Gln_Checker_12.4_on_V010_thread_Q1_0019_17spin	FD31_Gln_Checker_12.4_on_V010_thread_Q1	-255.922
-18166.866	26.038	11.838	4.857	13	ON	4.857	12.464	18.883	FD31_Gln_Checker_12.4_on_V010_thread_A3_0013_26spin	FD31_Gln_Checker_12.4_on_V010_thread_A3	-236.791
