total_score	spin	com_z	min_z	id_number	state	min_dist	med_dist	max_dist	name	thread	ddg
-18073.895	-46.726	12.158	4.746	23	ON	4.746	13.325	19.477	FD31_Lys_Checker_11.5_on_V010_thread_U4_0023_-47spin	FD31_Lys_Checker_11.5_on_V010_thread_U4	-112.193
-18069.309	-45.485	12.244	4.922	8	ON	4.922	13.57	19.288	FD31_Lys_Checker_11.5_on_V010_thread_H1_0008_-45spin	FD31_Lys_Checker_11.5_on_V010_thread_H1	-107.607
-18068.883	-46.687	12.315	5.136	26	ON	5.136	13.32	19.58	FD31_Lys_Checker_11.5_on_V010_thread_D4_0026_-47spin	FD31_Lys_Checker_11.5_on_V010_thread_D4	-107.181
-18068.602	-46.764	12.048	4.657	21	ON	4.657	13.241	19.315	FD31_Lys_Checker_11.5_on_V010_thread_R3_0021_-47spin	FD31_Lys_Checker_11.5_on_V010_thread_R3	-106.9
-18066.364	132.751	12.368	4.998	25	ON	4.998	13.603	19.566	FD31_Lys_Checker_11.5_on_V010_thread_U4_0025_133spin	FD31_Lys_Checker_11.5_on_V010_thread_U4	-104.662
-18060.131	-45.768	12.087	4.49	16	ON	4.49	12.793	19.978	FD31_Lys_Checker_11.5_on_V010_thread_H4_0016_-46spin	FD31_Lys_Checker_11.5_on_V010_thread_H4	-98.429
-18059.767	132.256	11.967	4.687	7	ON	4.687	12.341	19.781	FD31_Lys_Checker_11.5_on_V010_thread_W2_0007_132spin	FD31_Lys_Checker_11.5_on_V010_thread_W2	-98.065
-18059.287	-46.162	12.067	4.872	8	ON	4.872	13.368	19.03	FD31_Lys_Checker_11.5_on_V010_thread_L2_0008_-46spin	FD31_Lys_Checker_11.5_on_V010_thread_L2	-97.585
-18057.978	-47.344	12.303	5.006	22	ON	5.006	13.22	19.734	FD31_Lys_Checker_11.5_on_V010_thread_D4_0022_-47spin	FD31_Lys_Checker_11.5_on_V010_thread_D4	-96.276
-18054.392	-46.678	12.436	4.988	10	ON	4.988	13.36	20.019	FD31_Lys_Checker_11.5_on_V010_thread_N2_0010_-47spin	FD31_Lys_Checker_11.5_on_V010_thread_N2	-92.69
-18040.957	-178.045	12.393	5.038	29	ON	5.038	13.147	20.001	FD31_Lys_Checker_11.5_on_V010_thread_H1_0029_-178spin	FD31_Lys_Checker_11.5_on_V010_thread_H1	-79.255
